,player,total_runs,out,numberofballs,average,strikerate,wickets
219,TG Southee,115,6,90,19.1666666666667,127.777777777778,28
220,R Tewatia,115,7,89,16.4285714285714,129.213483146067,14
221,M Kartik,113,7,108,16.1428571428571,104.62962962963,31
222,DJ Harris,111,3,101,37,109.90099009901,0
223,HV Patel,107,8,68,13.375,157.352941176471,41
224,JDP Oram,106,8,108,13.25,98.1481481481482,9
225,LJ Wright,106,4,60,26.5,176.666666666667,2
226,Rashid Khan,105,12,63,8.75,166.666666666667,55
227,RJ Quiney,103,7,102,14.7142857142857,100.980392156863,0
228,DS Kulkarni,101,9,106,11.2222222222222,95.2830188679245,85
229,MS Gony,99,9,70,11,141.428571428571,37
230,SD Chitnis,99,7,89,14.1428571428571,111.23595505618,2
231,MJ Clarke,98,5,94,19.6,104.255319148936,2
232,CJ Ferguson,98,6,116,16.3333333333333,84.4827586206896,0
233,MA Starc,96,6,98,16,97.9591836734694,33
234,S Curran,95,4,55,23.75,172.727272727273,10
235,AJ Tye,92,7,70,13.1428571428571,131.428571428571,37
236,PR Shah,92,8,91,11.5,101.098901098901,0
237,DJ Jacobs,92,7,97,13.1428571428571,94.8453608247423,0
238,S Rana,91,5,81,18.2,112.345679012346,0
239,RT Ponting,91,8,127,11.375,71.6535433070866,0
240,AD Nath,90,10,98,9,91.8367346938776,0
241,S Hetmyer,90,5,73,18,123.287671232877,0
242,MJ McClenaghan,88,11,70,8,125.714285714286,71
243,Iqbal Abdulla,88,1,83,88,106.024096385542,38
244,SL Malinga,88,12,99,7.33333333333333,88.8888888888889,170
245,AP Majumdar,87,4,76,21.75,114.473684210526,0
246,J Archer,84,7,61,12,137.704918032787,25
247,RE Levi,83,6,73,13.8333333333333,113.698630136986,0
248,LA Carseldine,81,3,68,27,119.117647058824,1
249,WPUJC Vaas,81,7,73,11.5714285714286,110.958904109589,18
250,Shahid Afridi,81,8,46,10.125,176.086956521739,9
251,AD Mascarenhas,79,10,78,7.9,101.282051282051,19
252,PJ Cummins,77,6,55,12.8333333333333,140,17
253,S Rutherford,77,5,53,15.4,145.283018867925,1
254,B Akhil,76,7,55,10.8571428571429,138.181818181818,6
255,IR Jaggi,76,5,97,15.2,78.3505154639175,0
256,TR Birt,75,5,58,15,129.310344827586,0
257,Washington Sundar,75,6,50,12.5,150,16
258,M Klinger,73,4,77,18.25,94.8051948051948,0
259,RR Sarwan,73,3,75,24.3333333333333,97.3333333333333,0
260,L Livingstone,71,3,47,23.6666666666667,151.063829787234,0
261,DL Chahar,71,6,44,11.8333333333333,161.363636363636,33
262,K Rabada,70,6,78,11.6666666666667,89.7435897435897,31
263,AA Bilakhia,69,5,85,13.8,81.1764705882353,0
264,H Klaasen,67,5,57,13.4,117.543859649123,0
265,RR Powar,67,3,63,22.3333333333333,106.349206349206,11
266,R Singh,66,6,65,11,101.538461538462,0
267,R Sharma,66,11,75,6,88,40
268,Mohammad Hafeez,64,8,82,8,78.0487804878049,2
269,CR Woakes,63,5,66,12.6,95.4545454545454,25
270,WD Parnell,63,9,75,7,84,27
271,Anirudh Singh,63,4,66,15.75,95.4545454545454,0
272,A Flintoff,62,2,53,31,116.981132075472,2
273,S Aravind,59,3,56,19.6666666666667,105.357142857143,42
274,WA Mota,56,5,73,11.2,76.7123287671233,4
275,JD Unadkat,55,7,53,7.85714285714286,103.77358490566,72
276,M Rawat,55,5,69,11,79.7101449275362,0
277,I Sharma,55,7,61,7.85714285714286,90.1639344262295,70
278,J Suchith,54,2,46,27,117.391304347826,12
279,Mohammed Shami,54,9,52,6,103.846153846154,39
280,A Chopra,53,5,71,10.6,74.6478873239437,0
281,RR Rossouw,53,6,51,8.83333333333333,103.921568627451,0
282,RP Singh,52,15,72,3.46666666666667,72.2222222222222,89
283,NM Coulter-Nile,52,7,50,7.42857142857143,104,33
284,Shoaib Malik,52,4,47,13,110.63829787234,2
285,KB Arun Karthik,51,5,50,10.2,102,0
286,R Rampaul,51,5,49,10.2,104.081632653061,16
287,RV Gomez,50,7,50,7.14285714285714,100,4
288,SB Bangar,49,6,58,8.16666666666667,84.4827586206896,4
289,VR Aaron,49,3,62,16.3333333333333,79.0322580645161,42
290,AG Paunikar,49,5,57,9.8,85.9649122807017,0
291,Yashpal Singh,47,4,66,11.75,71.2121212121212,0
292,Kuldeep Yadav,45,4,54,11.25,83.3333333333333,39
293,Sunny Singh,43,4,31,10.75,138.709677419355,0
294,AB Barath,42,2,42,21,100,0
295,SK Trivedi,42,8,59,5.25,71.1864406779661,65
296,JDS Neesham,42,3,46,14,91.304347826087,1
297,A Nehra,41,8,59,5.125,69.4915254237288,105
298,LPC Silva,40,2,25,20,160,0
299,S Dube,40,4,33,10,121.212121212121,0
300,BR Dunk,40,3,35,13.3333333333333,114.285714285714,0
301,Umar Gul,39,3,19,13,205.263157894737,12
302,AUK Pathan,39,5,23,7.8,169.565217391304,0
303,DJ Thornely,39,3,52,13,75,3
304,MM Patel,39,5,41,7.8,95.1219512195122,74
305,SP Jackson,38,2,31,19,122.58064516129,0
306,JO Holder,38,5,31,7.6,122.58064516129,5
307,Anureet Singh,37,4,46,9.25,80.4347826086957,18
308,S Narwal,37,4,27,9.25,137.037037037037,5
309,JJ Bumrah,37,3,38,12.3333333333333,97.3684210526316,82
310,Sohail Tanvir,36,3,29,12,124.137931034483,22
311,L Balaji,36,7,47,5.14285714285714,76.5957446808511,73
312,KW Richardson,36,3,39,12,92.3076923076923,19
313,Joginder Sharma,36,4,30,9,120,12
314,AN Ahmed,36,1,26,36,138.461538461538,12
315,SN Thakur,36,4,21,9,171.428571428571,36
316,A Kumble,35,2,46,17.5,76.0869565217391,45
317,B Sumanth,35,1,37,35,94.5945945945946,0
318,S Sreesanth,34,3,52,11.3333333333333,65.3846153846154,40
319,AP Dole,34,2,22,17,154.545454545455,5
320,A Mithun,34,5,25,6.8,136,7
321,L Ronchi,34,3,34,11.3333333333333,100,0
322,M Santner,33,1,23,33,143.478260869565,4
323,D Salunkhe,33,1,24,33,137.5,1
324,Basil Thampi,32,2,33,16,96.969696969697,16
325,RJ Peterson,32,3,29,10.6666666666667,110.344827586207,3
326,Mohammed Siraj,32,3,36,10.6666666666667,88.8888888888889,29
327,S Nadeem,32,14,77,2.28571428571429,41.5584415584416,40
328,S Sriram,31,2,36,15.5,86.1111111111111,0
329,T Taibu,31,3,26,10.3333333333333,119.230769230769,0
330,M Markande,30,3,29,10,103.448275862069,16
331,J Syed Mohammad,29,2,26,14.5,111.538461538462,8
332,VH Zol,29,2,26,14.5,111.538461538462,0
333,SB Jakati,28,2,29,14,96.5517241379311,46
334,M Lomror,28,2,24,14,116.666666666667,0
335,JM Kemp,26,2,24,13,108.333333333333,3
336,NL McCullum,26,3,21,8.66666666666667,123.809523809524,0
337,AB Dinda,26,9,47,2.88888888888889,55.3191489361702,62
338,Sandeep Sharma,26,3,38,8.66666666666667,68.421052631579,82
339,A Choudhary,25,2,20,12.5,125,5
340,S Chanderpaul,25,3,31,8.33333333333333,80.6451612903226,0
341,KC Cariappa,24,3,21,8,114.285714285714,8
342,MA Khote,24,2,20,12,120,2
343,ER Dwivedi,24,2,14,12,171.428571428571,0
344,PJ Sangwan,24,7,39,3.42857142857143,61.5384615384615,34
345,BMAJ Mendis,23,3,27,7.66666666666667,85.1851851851852,1
346,T Curran,23,3,27,7.66666666666667,85.1851851851852,6
347,J Arunkumar,23,3,23,7.66666666666667,100,0
348,NS Naik,23,2,31,11.5,74.1935483870968,0
349,SW Tait,23,3,26,7.66666666666667,88.4615384615385,24
350,MS Wade,22,3,33,7.33333333333333,66.6666666666667,0
351,GB Hogg,22,2,22,11,100,22
352,YS Chahal,22,4,48,5.5,45.8333333333333,93
353,CA Ingram,21,2,26,10.5,80.7692307692308,0
354,DE Bollinger,21,1,22,21,95.4545454545454,37
355,RR Raje,20,1,18,20,111.111111111111,6
356,M Muralitharan,20,6,29,3.33333333333333,68.9655172413793,64
357,K Paul,20,4,24,5,83.3333333333333,9
358,AC Thomas,20,2,19,10,105.263157894737,14
359,H Brar,20,0,12,,166.666666666667,0
360,Imran Tahir,20,4,27,5,74.0740740740741,77
361,NJ Maddinson,20,3,21,6.66666666666667,95.2380952380952,0
362,Harpreet Singh,20,2,26,10,76.9230769230769,0
363,R Shukla,19,2,23,9.5,82.6086956521739,4
364,DR Martyn,19,2,24,9.5,79.1666666666667,0
365,R Bishnoi,19,3,17,6.33333333333333,111.764705882353,0
366,P Sahu,19,0,13,,146.153846153846,3
367,A Mukund,19,2,22,9.5,86.3636363636364,0
368,Y Gnaneswara Rao,19,1,17,19,111.764705882353,0
369,P R Barman,19,1,24,19,79.1666666666667,0
370,Vishnu Vinod,19,3,26,6.33333333333333,73.0769230769231,0
371,JJ van der Wath,18,2,16,9,112.5,3
372,Harmeet Singh,18,2,12,9,150,26
373,BJ Haddin,18,1,11,18,163.636363636364,0
374,PV Tambe,18,1,39,18,46.1538461538462,28
375,DS Lehmann,18,2,18,9,100,0
376,Parvez Rasool,17,2,20,8.5,85,4
377,AS Rajpoot,17,3,30,5.66666666666667,56.6666666666667,21
378,PP Ojha,16,10,44,1.6,36.3636363636364,88
379,CK Kapugedera,16,3,23,5.33333333333333,69.5652173913043,0
380,S Singh,16,1,17,16,94.1176470588235,0
381,SA Abbott,15,1,13,15,115.384615384615,0
382,C Madan,15,1,19,15,78.9473684210526,0
383,GR Napier,15,1,16,15,93.75,1
384,VY Mahesh,15,2,26,7.5,57.6923076923077,20
385,RD Chahar,15,2,13,7.5,115.384615384615,15
386,A Joseph,15,0,13,,115.384615384615,6
387,SD Lad,15,1,13,15,115.384615384615,0
388,F Behardien,14,2,13,7,107.692307692308,0
389,MDKJ Perera,14,2,13,7,107.692307692308,0
390,S Badree,13,5,23,2.6,56.5217391304348,11
391,S Mavi,13,3,15,4.33333333333333,86.6666666666667,5
392,DT Patil,13,1,13,13,100,0
393,KJ Abbott,13,1,8,13,162.5,1
394,D Shorey,13,2,17,6.5,76.4705882352941,0
395,Swapnil Singh,12,3,20,4,60,1
396,T Thushara,12,2,18,6,66.6666666666667,8
397,TA Boult,12,2,14,6,85.7142857142857,34
398,DAJ Bracewell,12,0,9,,133.333333333333,3
399,M Ur Rahman,12,2,11,6,109.090909090909,16
400,AR Bawne,12,0,12,,100,0
401,AA Chavan,12,1,11,12,109.090909090909,8
402,Karanveer Singh,12,1,17,12,70.5882352941177,12
403,K Upadhyay,12,0,9,,133.333333333333,0
404,S Kaul,12,3,28,4,42.8571428571429,48
405,M Ntini,11,1,18,11,61.1111111111111,3
406,BB Sran,11,1,14,11,78.5714285714286,17
407,T Henderson,11,1,16,11,68.75,1
408,T Kohli,11,3,19,3.66666666666667,57.8947368421053,0
409,DNT Zoysa,11,1,9,11,122.222222222222,2
410,X Thalaivan Sargunam,10,1,17,10,58.8235294117647,0
411,J Theron,10,2,12,5,83.3333333333333,11
412,AG Murtaza,10,1,14,10,71.4285714285714,9
413,TD Paine,10,2,26,5,38.4615384615385,0
414,KAJ Roach,10,1,9,10,111.111111111111,0
415,SMSM Senanayake,10,1,17,10,58.8235294117647,9
416,D du Preez,10,1,13,10,76.9230769230769,4
417,AA Noffke,9,1,10,9,90,1
418,SM Harwood,9,0,13,,69.2307692307692,3
419,Jaskaran Singh,8,2,11,4,72.7272727272727,6
420,CJ McKay,8,1,15,8,53.3333333333333,1
421,J Searles,8,1,6,8,133.333333333333,2
422,TS Mills,8,3,11,2.66666666666667,72.7272727272727,5
423,P Chopra,8,1,6,8,133.333333333333,0
424,TM Srivastava,8,1,11,8,72.7272727272727,0
425,CK Langeveldt,8,2,9,4,88.8888888888889,11
426,UA Birla,7,1,14,7,50,0
427,VS Malik,7,1,7,7,100,5
428,Pankaj Singh,7,2,12,3.5,58.3333333333333,11
429,AF Milne,7,3,12,2.33333333333333,58.3333333333333,4
430,N Naik,7,1,16,7,43.75,0
431,AN Ghosh,7,2,8,3.5,87.5,0
432,Ankit Soni,7,2,8,3.5,87.5,2
433,I Malhotra,7,0,4,,175,0
434,R Bhui,7,2,17,3.5,41.1764705882353,0
435,I Sodhi,7,2,17,3.5,41.1764705882353,9
436,DM Bravo,6,0,5,,120,0
437,SS Shaikh,6,0,7,,85.7142857142857,0
438,SB Joshi,6,2,14,3,42.8571428571429,1
439,J Yadav,6,0,10,,60,5
440,BA Bhatt,6,0,7,,85.7142857142857,12
441,S Sharma,6,0,3,,200,12
442,PSP Handscomb,6,1,12,6,50,0
443,B Stanlake,5,0,2,,250,7
444,A Zampa,5,2,8,2.5,62.5,16
445,R Salam,5,0,4,,125,0
446,Shivam Sharma,5,1,3,5,166.666666666667,4
447,SJ Srivastava,5,1,5,5,100,14
448,P Awana,5,3,14,1.66666666666667,35.7142857142857,39
449,KMDN Kulasekara,5,0,2,,250,5
450,B Laughlin,5,2,13,2.5,38.4615384615385,8
451,DP Nannes,4,1,13,4,30.7692307692308,28
452,A Uniyal,4,1,7,4,57.1428571428571,2
453,FH Edwards,4,1,5,4,80,5
454,A Chandila,4,1,7,4,57.1428571428571,11
455,A Dananjaya,4,0,5,,80,0
456,CRD Fernando,4,1,3,4,133.333333333333,17
457,GD McGrath,4,1,5,4,80,11
458,M Ashwin,4,3,8,1.33333333333333,50,15
459,H Vihari,4,2,8,2,50,0
460,Avesh Khan,4,0,3,,133.333333333333,5
461,RS Sodhi,4,0,2,,200,0
462,VRV Singh,4,1,2,4,200,12
463,CJ Jordan,3,1,5,3,60,11
464,S Tyagi,3,0,4,,75,6
465,A Turner,3,3,10,1,30,0
466,R Ninan,3,1,6,3,50,3
467,D Kalyankrishna,3,1,7,3,42.8571428571429,2
468,JE Taylor,3,0,3,,100,6
469,H Viljoen,3,2,5,1.5,60,7
470,BAW Mendis,3,2,6,1.5,50,8
471,Mohammad Asif,3,2,6,1.5,50,8
472,Kamran Khan,3,1,5,3,60,10
473,Younis Khan,3,1,7,3,42.8571428571429,0
474,KP Appanna,2,1,3,2,66.6666666666667,9
475,RS Gavaskar,2,1,8,2,25,0
476,SB Wagh,2,2,3,1,66.6666666666667,5
477,Mohammad Ashraful,2,1,10,2,20,0
478,Mashrafe Mortaza,2,0,2,,100,0
479,S Randiv,2,1,4,2,50,6
480,Shoaib Akhtar,2,1,7,2,28.5714285714286,5
481,RG More,2,0,2,,100,1
482,A Singh,2,4,10,0.5,20,31
483,VS Yeligati,2,1,2,2,100,0
484,H Das,2,1,5,2,40,0
485,SE Bond,1,1,2,1,50,9
486,PM Sarvesh Kumar,1,0,2,,50,1
487,Shoaib Ahmed,1,2,6,0.5,16.6666666666667,5
488,Mustafizur Rahman,1,1,3,1,33.3333333333333,24
489,LH Ferguson,1,0,1,,100,3
490,H Gurney,1,0,5,,20,7
491,L Plunkett,1,1,3,1,33.3333333333333,4
492,BE Hendricks,1,1,3,1,33.3333333333333,9
493,P Parameswaran,1,0,2,,50,9
494,DP Vijaykumar,1,0,1,,100,4
495,DJ Muthuswami,1,1,3,1,33.3333333333333,4
496,M Wood,1,1,3,1,33.3333333333333,0
497,NJ Rimmington,1,0,1,,100,0
498,P Krishna,1,1,7,1,14.2857142857143,14
499,M de Lange,1,1,2,1,50,5
500,K Ahmed,0,1,1,0,0,20
501,C Nanda,0,1,1,0,0,2
502,YA Abdulla,0,0,1,,0,15
503,U Kaul,0,0,1,,0,0
504,P Raj,0,0,1,,0,1
505,S Lamichhane,0,1,1,0,0,13
506,RR Bhatkal,0,2,2,0,0,0
507,IC Pandey,0,1,2,0,0,18
508,L Ablish,0,0,2,,0,3
509,Abdur Razzak,0,0,2,,0,0
510,Sunny Gupta,0,1,1,0,0,0
511,ND Doshi,0,1,13,0,0,2
512,J Denly,0,1,1,0,0,0
513,S Ladda,0,2,9,0,0,5
514,V Pratap Singh,0,1,1,0,0,10
515,S Kaushik,0,1,1,0,0,6